Quality,#1 ID,#2 ID,#1 String,#2 String
0,173848,173787,Hong Kong was flat  Australia   Singapore and South Korea lost 0.2-0.4 percent.,Australia was flat  Singapore was down 0.3 percent by midday and South Korea added 0.2 percent.
1,1756397,1756332,Evidence suggests two of the victims were taken by surprise  while the other two might have tried to flee or to defend themselves or the others  police said.,Evidence suggests two victims were taken by surprise  while the others may have tried to flee or perhaps defend themselves or their friends  police said.
0,749900,749726,Ballmer has been vocal in the past warning that Linux is a threat to Microsoft.,In the memo  Ballmer reiterated the open-source threat to Microsoft.
1,501917,501968,A charter plane crashed in Turkey on Monday  killing all 75 people aboard  including 62 Spanish peacekeepers returning from Afghanistan  officials said.,A plane carrying 75 people  including 62 Spanish peacekeepers returning from Afghanistan  crashed in thick fog in Turkey early on Monday  killing all aboard  officials said.
1,356718,356778,"Moroccan Interior Minister Al Mustapha Sahel said the investigation ""points to a group that has been arrested recently""  an apparent reference to Djihad Salafist.","Moroccan Interior Minister Al Mustapha Sahel told state-run 2M television late Saturday the investigation ""points to a group that has been arrested recently"" an apparent reference to Salafist Jihad."
1,1853823,1853477,She survives him as do their four children -- sons Anthony and Kelly  daughters Linda Hope and Nora Somers -- and four grandchildren.,Hope is survived by his wife  sons Anthony and Kelly  daughters Linda and Nora Somers  and four grandchildren.
1,3417894,3417817,It exploded in his hands  but the former Italian prime minister was unhurt.,The letter bomb sent to Prodi exploded in his hands but he was unhurt.
0,3026089,3026070,The British Foreign Office said Monday that coalition authorities in Iraq were pleased that the men were freed.,The British Foreign Office said it had mediated the two men's release.
1,1618799,1619119,Now  with the agency's last three shuttles grounded in the wake of the Columbia disaster  that wait could be even longer.,With the remaining three shuttles grounded in the wake of the Columbia accident  the rookies will have to wait even longer.
1,842299,842482,ISRAELI soldiers knocked down empty mobile homes and water towers in 10 tiny West Bank settlement outposts overnight as part of a US-backed Mideast peace plan.,Israeli soldiers began tearing down settlement outposts in the West Bank yesterday - an Israeli obligation under a new Mideast peace plan.
0,2452146,2452300,The latest snapshot of the labor markets was slightly better than economists were expecting  they were forecasting claims to fall no lower than 410 000 for last week.,Despite problems in the job market  the latest snapshot of the labor markets was slightly better than economists were expecting.
1,1596213,1596237,Another body was pulled from the water on Thursday and two seen floating down the river could not be retrieved due to the strong currents  local reporters said.,Two more bodies were seen floating down the river on Thursday  but could not be retrieved due to the strong currents  local reporters said.
1,420631,420719,Those reports were denied by the interior minister  Prince Nayef.,However  the Saudi interior minister  Prince Nayef  denied the reports.
1,2597390,2597503,Other members of the organization are believed to be in Pakistani cities  and many of the arrests of key al-Qaida operatives have taken place in those areas.,Other members of the organization are believed to be in Pakistani cities  where many of the arrests of key Al Qaeda operatives have taken place.
0,1305621,1305775,Agriculture ministers from more than one hundred nations are expected to attend the three-day Ministerial Conference and Expo on Agricultural Science and Technology sponsored by the U.S. Department of Agriculture.,U.S. Agriculture Secretary Ann Veneman kicks off the three-day Ministerial Conference and Expo on Agricultural Science and Technology on Monday.
1,276515,276501,"While there were about 700 Uruguayan UN peacekeepers in Bunia  they were ""neither trained nor equipped"" to deal with inter-ethnic violence  Mr Eckhard said.","The UN has approximately 600 troops in the town  but they were ""neither trained nor equipped"" to deal with inter-ethnic violence  Mr Eckhard said."
1,1617861,1617809,Shares of Coke were down 49 cents  or 1.1 percent  at $43.52 in early trading Friday on the New York Stock Exchange.,In late morning trading  Coke shares were down 2 cents at $43.99 on the New York Stock Exchange.
0,3063295,3063680,NASIRIYA  Iraq—Iraqi doctors who treated former prisoner of war Jessica Lynch have angrily dismissed claims made in her biography that she was raped by her Iraqi captors.,Former prisoner of war Pfc. Jessica Lynch is winning admiration in her hometown all over again for the courage to reveal she was raped by her Iraqi captors.
1,1398956,1398777,If people took the pill daily  they would lower their risk of heart attack by 88 percent and of stroke by 80 percent  the scientists claim.,Taking the pill would lower the risk of heart attack by 88 percent and of stroke by 80 percent  the scientists said.
1,1401946,1401697,Amgen shares gained 93 cents  or 1.45 percent  to $65.05 in afternoon trading on Nasdaq.,Shares of Allergan were up 14 cents at $78.40 in late trading on the New York Stock Exchange.
1,98645,98414,From the start  however  the United States' declared goal was not just to topple Saddam but to stabilize Iraq and install a friendly government.,But the United States' ultimate goal was not just to topple Mr. Hussein but to stabilize the country and install a friendly government.
1,3113657,3113590,Customers that pay the $1 219 entrance fee get SMS 2003 with 10 device client access licenses.,Retail pricing for SMS 2003 with 10 device client access licenses is $1 219.
0,2930352,2930380,It was the best advance since Oct. 1  when the index gained 22.25.,Standard & Poor's 500 index rose 15.66 to 1 046.79  its best advance since Oct. 1  when it gained 22.25.
1,1081112,1081199,MSN Messenger 6 will be available for download starting at 6 p.m. GMT on Wednesday from http://messenger.msn.com/download/v6preview.asp.,The MSN Messenger 6 software will be available from 11 a.m. PST on Wednesday  according to Microsoft.
0,1782395,1782413,If Shelley certifies enough are valid  the lieutenant governor must call an election within 60 to 80 days  setting the state into uncharted political waters.,If the Democrat certifies that there are enough valid signatures  the lieutenant governor must call an election within 60 to 80 days.
1,1246493,1246786,The most serious breach of royal security in recent years occurred in 1982 when 30-year-old Michael Fagan broke into the queen's bedroom at Buckingham Palace.,It was the most serious breach of royal security since 1982 when an intruder  Michael Fagan  found his way into the Queen's bedroom at Buckingham Palace.
0,41193,41211,Shares of LendingTree rose 22 cents to $14.69 and have risen 14 percent this year.,Shares of LendingTree rose $6.03  or 41 percent  to close at $20.72 on the Nasdaq stock market yesterday.
0,1433616,1433454,During a screaming match in 1999  Carolyn told John she was still sleeping with Bergin.,"She  in turn  occasionally told John that she was still sleeping with an ex-boyfriend  ""Baywatch"" hunk Michael Bergin."
0,878767,878534,NASA plans to follow-up the rovers' missions with additional orbiters and landers before launching a long-awaited sample-return flight.,NASA plans to explore the Red Planet with ever more sophisticated robotic orbiters and landers.
0,1479611,1479716,The broader Standard & Poor's 500 Index .SPX crept up 4.3 points  or 0.44 percent  to 980.52.,The technology-laced Nasdaq Composite Index .IXIC rose 17.33 points  or 1.07 percent  to 1 640.13.
0,44397,44620,Garner said the self-proclaimed mayor of Baghdad  Mohammed Mohsen al-Zubaidi  was released after two days in coalition custody.,Garner said self-proclaimed Baghdad mayor Mohammed Mohsen Zubaidi was released 48 hours after his detention in late April.
1,2359452,2359376,In a statement  Microsoft said the dividend is payable Nov. 7 to shareholders of record on Oct. 17.,The dividend  the company's second this calendar year  is payable on Nov. 7 to shareholders of record at the close of business Oct. 17.
1,203291,203344,She asked to be excused from last week's Cabinet session to prepare for a meeting with the presidents of Rwanda and Uganda.,She took the highly unusual step of skipping cabinet to attend a meeting with the presidents of Rwanda and Uganda.
0,2007119,2007087,"In a not-too-subtle swipe at Dean  he predicted Americans would not elect a Democrat ""who sounds an uncertain trumpet in these dangerous times.""","They will not elect as president a Democrat who sounds an uncertain trumpet in these dangerous times."""
1,2792884,2792738,The jury asked for transcripts of Quattrone's testimony about his role in the IPO allocation process.,The jury asked to have Mr. Quattrone's testimony about his role in the allocation of stock offerings read to them.
1,2375777,2375808,A neighbor said a duffel bag containing a woman's body was dug up  and the other body was encased in concrete.,A neighbor said a woman's body was dug up in a duffel bag  and the other was encased in concrete.
0,1363194,1362857,At least five class-action lawsuits have been filed  including one in Pennsylvania.,At least five class-action lawsuits have been filed on behalf of hormone users.
1,2815705,2815885,Southwest said it completed inspections of its entire fleet of 385 aircraft -- all 737s -- and found no additional items.,Southwest said it had already inspected its fleet of 385 aircraft and found no additional suspicious items.
0,1691429,1691605,Semiconductor giant Intel Corp. said yesterday that its second-quarter profits doubled from a year ago as stronger-than-expected demand for computer microprocessors offset the weakness of its communications chip business.,Intel Corp.'s second-quarter profits doubled and revenues grew 8 percent from a year ago as the chip-making giant reported stronger-than-expected demand for personal computer microprocessors.
1,396175,396035,The South Korean Agriculture and Forestry Ministry also said it would throw out or send back all Canadian beef currently in store.,The South Korean Agriculture and Forestry Ministry said it would scrap or return all Canadian beef in store.
0,2904808,2904964,By Sunday night  the fires had blackened 277 000 acres  hundreds of miles apart.,Major fires had burned 264 000 acres by early last night.
1,715320,715197,Clijsters was simply too complete and powerful for the Spanish veteran Conchita Martínez in her quarterfinal  winning  6-2  6-1.,Clijsters was simply too powerful for Spanish veteran Conchita Martinez  winning 6-2  6-1.
1,833153,833193,City Councilman Cedric Wilson said those killed were Cpl. James Crump  Officer Arnold Strickland and dispatcher Ace Mealer.,Fayette City Councilman Cedric Wilson identified the dead as Cpl. James Crump  Officer Arnold Strickland and dispatcher Ace Mealer.
0,2836872,2837029,But  to the dismay of Reaganites  there is no mention of the Reagan-era economic boom.,But there is no mention of the economic recovery or the creation of wealth during his administration.
1,1408377,1408706,The interview came a day after a report in the British press that he had been taken into custody.,The interview Thursday came a day after Britain's Daily Mirror reported Sahhaf had been taken into custody.
1,3073750,3073779,Lay had argued that handing over the documents would be a violation of his Fifth Amendment rights against self-incrimination.,Lay had refused to turn over the papers  asserting his Fifth Amendment right against self-incrimination.
1,3265736,3265630,Walker said he expects that the president's budget will include a request for three percent to five percent budget increases for NASA for each of the next five years.,Walker said he expects that the president’s budget will include a request for 3 to 5 percent budget increases for NASA for each of the next five years.
1,1819056,1819124,Shares in BA were down 1.5 percent at 168 pence by 1420 GMT  off a low of 164p  in a slightly stronger overall London market.,Shares in BA were down three percent at 165-1/4 pence by 0933 GMT  off a low of 164 pence  in a stronger market.
0,278163,278382,Amnesty International has said that over the past 20 years it has collected information about 17 000 disappearances in Iraq but the actual figure may be much higher.,Amnesty International said that over the past 20 years it had collected information about 17 000 disappearances in Iraq.
1,1510296,1510225,Both have said they are willing to take the slim chance of success for the opportunity to lead separate lives.,Twenty-nine-year-old Iranian sisters Ladan and Laleh Bijani are willing to accept the slim chance of success just for an opportunity to lead separate lives.
1,345963,345901,She had been critically ill after May 7 surgery to replace a heart valve.,She had been critically ill since having surgery at Baptist Hospital on May 7 to replace a heart valve.
0,820900,820927,The BlueCore3-Multimedia includes a 16-bit stereo audio CODEC with dual ADC and DAC for stereo audio.,BlueCore3-Multimedia contains an open platform DSP co-processor and also includes a 16-bit stereo audio codec with dual ADC and DAC for stereo audio.
1,881153,881309,Braker said Wednesday that police  as part of protocol  were talking with other children Cruz had access to.,"He told ""Today"" that authorities  as part of protocol  were talking with other children Cruz had had access to."
1,2224082,2223823,The state will consider the police memorial after planning a World Trade Center Memorial  said Micah Rasmussen  a spokesman for Gov. James E. McGreevey.,The state will consider the police memorial after planning is completed on another memorial to all the victims  said Micah Rasmussen  a spokesman for Gov. James E. McGreevey.
1,1630597,1630669,Stewart said the ring was most likely a work in progress  and that weak links such as being tied to a single server will be eliminated over time.,Mr. Stewart said the ring was most likely a work in progress  and that flaws  like being tied to a single server  would be eliminated over time.
1,2678860,2678895,It will also give Microsoft an opportunity to comment on remedies proposed by the Commission.,Among other things  Microsoft is to comment on proposed remedies in its response.
1,2482005,2481972,The State Court of Appeals did not explain the reason for keeping the lower court's unanimous opinion from July.,The State Court of Appeals did not explain its reasons for not disturbing the Appellate Division's unanimous opinion issued in July.
0,1438073,1438024,While the day's trading was lackluster  the Standard & Poor's 500 index was preparing to close out its best three-month period since the fourth quarter of 1998.,The Standard & Poor's 500 stock index ended the quarter up 120 points  a gain of 14 percent  the best performance for that broad market benchmark since 1998.
0,1703392,1703451,Powell recently changed the story  telling officers that Hoffa's body was buried at his former home  where the search was conducted Wednesday.,Powell changed the story earlier this year  telling officers that Hoffa's body was buried at his former home  where the aboveground pool now sits.
0,2526928,2526952,Another said its members would continue to call the more than 50 million phone numbers on the Federal Trade Commission's list.,Meantime  the Direct Marketing Association said its members should not call the nearly 51 million numbers on the list.
1,2759792,2759807,Stock futures were mixed in early Thursday trading  but trading below fair value  pointing to a lower open for the major market indexes.,Stock futures were trading lower early on Thursday  below fair value  pointing to a lower open.
0,191346,191536,Worldwide  7 183 SARS cases and 514 deaths have been reported in 30 countries.,Taiwan reported 22 new cases  for a total of 360 with 13 deaths.
1,1789073,1788780,SCO says the pricing terms for a license will not be announced for weeks.,Details on pricing will be announced within a few weeks  McBride said.
1,2216664,2216689,Further estimates show that it is the fourth most common cause of cancer in men and the eighth most common in women.,Bladder cancer is the fourth most common cancer in American men and the eighth in women.
0,3300416,3300721,The new bill would have Medicare cover 95 percent of drug costs over $5 100.,Above that  seniors would be responsible for 100 percent of drug costs until the out-of-pocket total reaches $3 600.
0,1479753,1479819,The technology-laced Nasdaq Composite Index <.IXIC> rose 17.33 points  or 1.07 percent  to 1 640.13.,The broader Standard & Poor's 500 Index <.SPX> gained 5.51 points  or 0.56 percent  to 981.73.
0,1183817,1183688,Both studies are published in the Journal of the American Medical Association.,The study appears in the latest issue of the Journal of the American Medical Association.
1,1730650,1730772,His Chevrolet Tahoe was found abandoned June 25 in a Virginia Beach  parking lot.,His sport utility vehicle was found June 25  abandoned without its license plates in Virginia Beach  Va.
1,1462786,1463120,Spitzer was among a group of federal and state regulators who negotiated a $1.4 billion settlement with 10 brokerage houses to settle investigations of analyst conflicts of interest.,Spitzer was among a group of federal and state regulators who negotiated a $1.4 billion settlement with 10 brokerages over analyst conflict-of-interest allegations.
1,1921865,1921879,Crohn's disease causes inflammation of the intestine and symptoms include diarrhea  pain  weight loss and tiredness.,Symptoms include chronic diarrhoea  abdominal pain  weight loss and extreme tiredness.
0,2276459,2276361,He and his colleagues attributed some of the communication gap to doctors feeling pressed for time.,He attributed some of the communication gap to doctors feeling pressed for time  patients cited discomfort discussing financial issues.
0,1926146,1926126,The three men have pleaded not guilty and their lawyers have asked the High Court to dismiss the charges  saying the state has failed to present a solid case.,Defense lawyers asked the High Court to dismiss the charges  saying the state has failed to present a solid case.
0,1793425,1793488,A Florida grand jury investigating pharmaceutical wholesalers indicted 19 people on charges of peddling bogus or diluted medications often prescribed for cancer and AIDS patients  authorities said yesterday.,A Florida grand jury indicted 19 people for contaminating and diluting prescription drugs desperately needed by AIDS and cancer patients in a multimillion-dollar scheme  prosecutors said Monday.
1,2195721,2195937,The Bush administration's hope is that by increasing the efficiency of older power plants -- especially coal -- more power can be produced more cheaply.,The administration's hope is that by increasing the efficiency of older coal-fired plants - the most affected segment - more power can be produced more cheaply.
0,969671,969584,The Dow Jones industrial average .DJI was off 58.69 points  or 0.64 percent  at 9 137.86.,The blue-chip Dow Jones industrial average .DJI fell 86.56 points  or 0.94 percent  to 9 109.99  after giving up more than 1 percent earlier.
0,746177,746211,The tech-laced Nasdaq Composite Index .IXIC eased 5.16 points  or 0.32 percent  at 1 590.75  breaking a six-day string of gains.,The tech-heavy Nasdaq Composite Index .IXIC was off 0.11 percent  or 1.78 points  at 1 594.13.
1,2011656,2011796,His chief lawyer  Mahendradatta  said Bashir was mentally prepared for a heavy sentencing demand and felt the Marriott bombing would affect the decision.,A lawyer for Bashir  Mahendradatta  said earlier his client was mentally prepared for a heavy sentencing demand and had felt the Marriott bombing would affect the decision.
1,2384647,2384724,This comes at a time when Alba is expanding its aluminium output by 307 000 tonnes a year and is accelerating plans for another 307 000 tonnes-a-year increase.,That comes as Alba is lifting its aluminium output by 307 000 tonnes a year and accelerating plans for another 307 000 tonnes-a-year increase.
0,3447348,3447301,The new Mobile AMD Athlon 64 processors are numbered 3200+  3000+ and 2800+.,The Mobile 3200+  3000+ and 2800+ cost $293  $233 and $193 for a thousand units.
1,3334681,3334887,The main psychologist  Dwight Close  referred questions to an agency spokeswoman  who said she wouldn't comment on personnel issues.,The main psychologist in the Rodriguez case  Dwight Close  referred questions to an agency spokeswoman  who didn't immediately return a call.
0,969380,969673,The broader Standard & Poor's 500 Index <.SPX> gave up 11.91 points  or 1.19 percent  at 986.60.,The technology-laced Nasdaq Composite Index .IXIC declined 16.68 points  or 1.01 percent  at 1 636.94.
1,1571035,1571099,The survey also found that executives who feel that current economic conditions have improved rose to 35 per cent from 15 per cent last quarter.,The survey also found that more executives feel that current economic conditions have improved  at 35 per cent compared to 15 per cent in the first quarter.
1,607096,607222,Taiwan has attempted to gain observer status to the United Nations-affiliated WHO for seven years  but again was rebuffed March 19 at its annual conference in Geneva.,It has sought observer status for seven years  but was again rebuffed May 19 at the annual WHO conference in Geneva.
0,1669277,1669222,Klarman was arrested by FBI agents in the Hamptons  an exclusive summer resort enclave east of New York City.,Klarman was arrested by FBI agents Monday morning at his home in New York.
1,3125018,3124927,Chi-Chi's has agreed to keep the restaurant closed until Jan. 2 _ two months after it voluntarily closed following initial reports of the disease.,Chi-Chi's has agreed to keep the restaurant closed until Jan. 2 -- two months after it voluntarily closed when the disease was first reported.
1,2025802,2025681,Four versions of Windows operating systems are targeted: Windows NT  Windows 2000  Windows XP and Windows Server 2003.,The new worm affects these Windows systems: 2000  XP  NT 4.0 and Server 2003.
1,2357216,2357196,It calls for the agency to plan an independent safety and engineering organization.,The agency has yet to fully formulate a strategy for the creation of an independent engineering technical authority.
1,3190817,3190834,No official ceremony was planned to mark the anniversary in Dallas.,In Dallas  no official ceremony marked the anniversary.
0,616279,616223,Caldera acquired the Unix server software of the original SCO and changed its name to the SCO Group.,SCO changed its name to Tarantella  and Caldera later changed its name to the SCO Group.
1,1653584,1653844,The victims were last seen at church last Sunday  their bodies were discovered Tuesday.,The family was last seen July 6 and their bodies were found Tuesday.
0,2488322,2488374,Results of the 2001 Aboriginal Peoples Survey released yesterday by Statistics Canada suggest living standards have improved but still lag for those off reserves.,The 2001 Aboriginal Peoples Survey released Wednesday by Statistics Canada says living standards have improved but still lag for the Inuit and those who leave their often impoverished reserves.
1,1809432,1809422,Software developers use compilers to translate programming languages such as C++ into the language that can be read by a particular processor.,Software developers use compilers to translate a programming language  such as C++  into the machine language understood by the processor.
0,1296641,1296436,In Albany  for example  24 percent of students passed  in South Colonie  14 percent.,In Kingston  only about 15 percent of students who took the exam passed it.
0,460136,460201,Tennessee Titans quarterback Steve McNair apologized Thursday for his arrest hours earlier in Nashville on suspicion of drunken driving and illegal possession of a handgun.,Tennessee Titans quarterback Steve McNair was arrested Thursday and charged with drunken driving and possession of a handgun.
1,826466,826607,"That second dossier  passed to journalists during Mr Blair's trip to Washington  said it drew on ""a number of sources  including intelligence material"".","That second dossier  passed to journalists on Mr Blair's trip to Washington to discuss war plans  said it drew upon ""a number of sources  including intelligence material""."
0,763636,763618,The other semifinal between Guillermo Coria of Argentina and Martin Verkerk of the Netherlands is also compelling.,The other  much less likely semifinal will match seventh-seeded Guillermo Coria of Argentina against the unseeded Dutchman Martin Verkerk.
1,2876861,2876951,Wal-Mart estimates more than 100 million Americans visit their stores every week.,Each week 138 million shoppers visit Wal-Mart's 4 750 stores.
1,3372291,3372332,For the 12-month period ending June 30  high-speed lines installed in homes and businesses increased by 45 percent.,For the full year period ending June 30  2003  high-speed lines increased by 45 percent.
0,1687490,1687430,Sen. John Kerry  Massachusetts Democrat  came in second place for the quarter with $5.8 million.,As expected  Dean led the field in the second quarter with $7.6 million raised.
1,1369754,1369906,While some other parts of Africa have been used as staging grounds for the terror group  Malawi previously had not been a major focus of investigations into al-Qaida.,While some other parts of Africa have been used as Al Qaeda staging grounds  Malawi had previously not been a major focus of investigations into the group.
1,881734,882010,Police said yesterday they believe Mr. Cruz knew of the girl through one of her former schoolmates  though neither the girl nor her family knew him.,Police said on Monday they believed Cruz knew of the fourth-grade girl through one of her former schoolmates  although neither the girl nor her family knew him.
1,1413741,1413711,The Prime Minister  Junichiro Koizumi  joined the criticism.,Prime Minister Junichiro Koizumi said Mr Ota deserved to be criticised.
1,3159653,3159764,There is one drug on the market for macular degeneration  Visudyne  and it is approved for the treatment of only one subtype that represents a minority of cases.,There is only one drug on the market for macular degeneration  and it is approved to treat only one subtype that represents a minority of cases.
0,3411418,3411820,"Speaking for the first time since being charged with child molestation  Jackson added  ""Why not?",Michael Jackson spoke out for the first time Sunday night since the latest accusations of child molestation.
1,1784474,1784513,The bureau also failed to pursue other leads  including a local imam who dealt with several key 9-11 figures.,The FBI also failed to pursue other leads  including a San Diego imam who dealt with several 9/11 figures  it adds.
1,1090499,1090289,Zilkha and other shareholders  including Coastal founder Oscar Wyatt Jr.  had called for Wise's firing for months.,Zilkha and other shareholders  including Coastal Corp. founder and vocal El Paso critic Oscar Wyatt Jr.  had called for Wise's termination for months.
1,2228840,2228717,The last time the survey was conducted  in 1995  those numbers matched.,In 1995  the last survey  those numbers were equal.
1,2132227,2132275,Cooper  the boy's mother  started coming to the church about three months ago after she met a parishioner at a doctor's office  Hemphill said.,The boy's mother  Patricia Cooper  started coming to the church about three months ago after she met one of its members at a doctor's office  Hemphill said.
1,390511,390658,To win final United States approval  the treaty would have to be signed by President Bush and ratified by Congress.,The treaty must be signed by the president and ratified by Congress to take effect.
1,2222267,2222353,The deal with the Carmel-based insurer is expected to close shortly  said Macklowe spokesman Howard J. Rubenstein.,Macklowe has signed a sale contract  which is expected to close shortly  said his spokesman  Howard Rubenstein.
1,3085916,3085789,Intelligence officials in Washington warned lawmakers a week ago to expect a terrorist attack in Saudi Arabia  it was reported today.,Intelligence officials told key senators a week ago to expect a terrorist attack in Saudi Arabia  Sen. Pat Roberts (R-Kan.) said yesterday.
1,1907709,1907769,Plofsky said the commission won't investigate because the three-year statute of limitations has expired.,The panel will not begin a formal investigation because the statute of limitations has expired  Plofsky said.
0,1675037,1675047,Yes  from today Flash memory purchased from AMD or Fujitsu will be branded Spansion.,Spansion Flash memory solutions are available worldwide from AMD and Fujitsu.
0,121931,122054,Her amendment would have changed the bill by keeping with current Texas law  which gives school districts the option to hold a moment of silence and recite the pledge.,The legislation would replace the current Texas law  which gives school districts the option of holding a period of silence and reciting the pledge.
0,3168654,3168714,"Talabani told him the Governing Council would ""need UN assistance and advice in implementing the new decisions which have been taken.""","Talabani told him Iraqi leaders would ""need U.N. assistance and advice in implementing the new decisions which have been taken"" on organising an interim Iraqi government by June."
0,3052789,3052812,By state law  911 calls are not public information and were not released.,By law  911 calls are not public information in Rhode Island.
1,2536332,2536313,Under the Government Network Security Act of 2003  federal agencies would have six months to develop and implement P2P security plans.,If enacted  federal agencies would have six months to develop and implement these plans.
1,1707805,1707851,Sales as measured by volume  a key gauge of financial health in the beverage sector  grew 5 percent in the quarter.,Coke's unit case volume  a key measure of financial health in the beverage sector  grew 5 percent in the quarter.
1,2980398,2980147,"Gainer said the two staff aides are ""very sorry this all happened "" and the security personnel had performed ""well within standards.""",The security personnel performed ``well within standards'' and the two staff aides were ``very sorry all this happened '' Gainer said.
0,554867,554875,Two kids from Michigan are in today's third round.,Both will compete in today's third round  which is all oral examination.
1,1134101,1133958,He will leave Hollesley Bay open prison at Woodbridge  Suffolk  on Monday  July 21.,Lord Archer is likely to be released from Hollesley Bay open prison at Woodbridge  Suffolk  on July 21.
0,2472857,2472830,The helicopter burst into flames upon impact  according to the Mohave County Sheriff's Office.,The helicopter was owned by Las Vegas-based Sundance Helicopters Inc.  according to the sheriff's office.
0,2546948,2547079,Pennsylvania  which has the most aggressive treatment program  is treating 548 of 8 030 inmates.,Texas  which has more than three times Michigan's inmate population  is treating 328 of its 16 298 infected inmates.
1,781404,781423,Named in the complaint were former chief executive officers Paul A. Allaire and G. Richard Thoman and former CFO Barry D. Romeril.,The executives fined included former Chief Executives Paul A. Allaire and G. Richard Thoman as well as former Chief Financial Officer Barry Romeril.
1,2906103,2906321,Both were charged with four counts of aggravated assault and 14 counts of endangering the welfare of children.,The Jacksons each were charged with four counts of aggravated assault and 14 counts of child endangerment.
0,510887,510855,The final round of the bee will be broadcast on ESPN at 1 p.m. Thursday.,At least 80 will make it to Thursday's final rounds of competition  which will be broadcast on ESPN.
1,2484349,2484160,At Tuesday's arraignment hearing  Marsh pleaded not guilty to 122 counts of burial service fraud and 47 counts of making false statements.,At the hearing he pleaded not guilty to the burial service fraud and false statements charges.
1,1501925,1502094,To put it very simply  Antetonitrus is Brontosaurus's older brother  hence the name.,Antetonitrus was brontosaurus' older brother  hence the name.
1,813244,813532,But church members and observers say they expect that the decision could be problematic for many Episcopalians.,But church members and observers say they anticipate that the decision here could pose doctrinal problems for some Episcopalians who believe the Bible prohibits homosexuality.
1,2749311,2749444,Bush already is halfway to his goal of raising $150 million to $170 million for next year's primaries.,He is roughly halfway to his goal of raising between $150 million and $170 million in the primaries.
1,54823,55177,The April 19  1995  bombing of the Alfred P. Murrah Federal Building came on the second anniversary of the fiery end of the Branch Davidian siege in Waco  Texas.,The April 19  1995  bombing came on the second anniversary of the end of the Branch Davidian siege in Waco  Texas.
0,392771,392701,The year-ago comparisons were restated to include Compaq results.,The year-ago numbers do not include figures from Compaq Computer.
1,1987428,1987385,"Investment bank Merrill Lynch raised its investment rating on the business software maker Oracle to ""buy"" from ""neutral"" with a 12-month price target of $15.","Merrill Lynch upgraded the business software maker to ""buy"" from ""neutral"" with a 12-month price target of $15."
1,711871,711923,"The report confirmed the ACLU's view that the civil liberties and rights of immigrants ""were trampled in the aftermath of 9/11 "" said Romero.","The inspector general's findings confirm our long-held view that civil liberties and the rights of immigrants were trampled in the aftermath of 9/11."""
1,1443641,1443672,The report also claims that there will be up to 9.3 million visitors to hot spots this year  up again from the meagre 2.5 million in 2002.,There will be 9.3 million visitors to hot spots in 2003  up from 2.5 million in 2002  Gartner said.
1,2221841,2221884,United is working closely with the Air Transportation Stabilization Board to replace the aspects of its loan guarantee bid that were rejected as inadequate in December.,United is working closely with the ATSB to replace those aspects of the company's original loan guarantee bid that were rejected as inadequate in December.
